location,title,company,salary,summary
"Chicago, IL",Lead Data Scientist,Harnham,"$250,000 a year","Their team of engineers, data scientists and domain experts employ advanced technologies to run computational analytics, build representational models and..."
"Denver, CO 80237 (Southeastern Denver area)",Lead Data Scientist,Edgelink,"$100,000 - $170,000 a year","Big Data Experience. Develop data pipeline to acquire test data for use in model testing. Ideally, proficient with R or Julia and Python (should at least be..."
"Los Angeles, CA",Lead Data Scientist,HERO.jobs,"$160,000 a year","They need a Lead or Principal level Data Scientist who is an expert with Machine Learning to work with a talented team based near Downtown Los Angeles, CA...."
"Chicago, IL",Lead Data Scientist,Jobspring Partners,"$100,000 - $150,000 a year",Join one of America‰Ûªs leaders in providing health benefits as a Lead Data Scientist. This opportunity will allow you to lead the development of Machine Learning...
"San Francisco, CA",Lead Data Scientist,Harnham,"$220,000 a year",
"San Francisco, CA",Lead Data Scientist,Harnham,"$220,000 a year","Data Science, Data Scientist, Director, Head of, VP, Big Data, R, SQL, Python, Insight, Analytics, Data, Statistics, Modelling, Machine Learning, Algorithms,..."
"San Jose, CA 95113 (Downtown area)",Lead Data Scientist,Workbridge Associates,$120 an hour,"Experience in Mathematical modeling, Statistics and Machine Learning Techniques. A leading healthcare startup is looking to bring on a Lead Data Scientist to..."
"Chicago, IL",Lead Data Scientist,Workbridge Associates,"$110,000 - $135,000 a year","The ideal candidate will have a strong sense of predictive modeling or machine learning experience and has been hands on using Python, R, Hadoop, Spark, and..."
"San Francisco, CA",Lead Data Scientist,Workbridge Associates,"$140,000 - $160,000 a year","Experience in Mathematical modeling, Statistics and Machine Learning Techniques. A leading healthcare startup is looking to bring on a Senior Data Scientist to..."
"Chicago, IL",Lead Data Scientist,Workbridge Associates,"$135,000 a year","The ideal candidate will have strong machine learning, data mining, and natural language processing experience...."
"Chicago, IL",Lead Data Scientist,Workbridge Associates,"$130,000 a year","The ideal candidate will have a strong sense of predictive modeling or machine learning experience and has been hands on using Python, R, Hadoop, Spark, and..."
"San Francisco, CA 94108 (Financial District area)",Data Scientist,"Mordue, Allen, Roberts, Bonney, Ltd","$130,000 - $160,000 a year","Required Experience and Qualifications - Bachelor's or preferably an MS or PhD in computer science, data mining, machine learning, statistics, math, or other..."
"Sunnyvale, CA 94085",Sr. Data Scientist,Workbridge Associates,"$100,000 a year",A world-renowned life insurance company is seeking to build out their Data Analytics team looking for multiple Mid-Level Data Scientists to join the team in...
"Sunnyvale, CA 94085",Sr. Data Scientist,Workbridge Associates,"$190,000 a year",Leading provider of mortgage software solutions has founded a new high-visibility Data Engineering & Machine Learning organization and is seeking Mid-Level Data...
"Redwood City, CA",Sr. Data Scientist,Workbridge Associates,"$175,000 a year","You will be working on a small team of data scientist to build machine learning algorithms. The company received a recent round of funding, which they are using..."
"New York, NY",Data Scientist,Averity,"$130,000 - $185,000 a year",We are open to Mid-Level to Senior-Level NLP Data Scientists for this role. These models will be implemented and used by other data scientists throughout other...
"Marlborough, MA",Data Scientist,Harnham,"$120,000 a year",Data Scientist | Natural Language Processing | Statistical Methods | Predictive Analytics | Machine Learning | Advanced....
"Boston, MA",Data Scientist,Harnham,"$170,000 a year",Data Scientist | Natural Language Processing | Statistical Methods | Predictive Analytics | Machine Learning | Advanced....
"Atlanta, GA",Data Scientist,Top Talent Recruiting Solutions,$48 an hour,Strong knowledge of operations research and data mining techniques and experience in formulating and implementing optimization and data analytics models....
"New York, NY",Lead Data Scientist,Averity,"$150,000 - $185,000 a year","As a Principal Data Scientist on our team, you will be a hands-on Data Scientist creating actionable insights based upon our big data sets...."
"Chicago, IL 60610 (Near North Side area)",Lead Data Scientist,Jobspring Partners,"$160,000 a year",This company's Chicago office is seeking a Principal Data Scientist to lead a team and develop machine learning algorithms and other procedures to figure out...
"Santa Clara, CA",Lead Data Scientist,ITStaff Technical Resources,"$100,000 - $150,000 a year","We‰Ûªre searching for an individual who‰Ûªs passionate about machine learning, big data, medical diagnostics and scientific research challenges...."
"Philadelphia, PA",Lead Data Scientist,Averity,"$155,000 - $160,000 a year","You will analyze, manipulate and interpret massive amounts of data from various sources and use your big data (Spark, Python, R, Scala, Machine Learning,..."
"Los Angeles, CA",Lead Data Scientist,Harnham,"$160,000 a year",Principal Data Scientist. YOUR ROLE AS PRINCIPAL DATA SCIENTIST. Initially the role holder will be an individual contributor but the position does have the...
"Chicago, IL",Lead Data Scientist,Jobspring Partners,"$120,000 - $160,000 a year",This company's Chicago office is seeking a Principal Data Scientist to lead a team and develop machine learning algorithms and other procedures to figure out...
"Santa Clara, CA 95050",Lead Data Scientist,Enterprise Select,"$150,000 a year","If you are passionate about machine learning, big data, medical diagnostics and challenging scientific research problems, this is the opportunity of a lifetime!..."
"Boston, MA",Sr. Data Scientist,Huxley Associates,"$175,000 a year","Extensive experience (7+ years) with big data, analytics, machine learning, and modeling. Responsibilities of senior data scientist:...."
"Austin, TX",Jr. Data Scientist,University of Texas at Austin,"$7,083 - $9,166 a month",Applicant selected will be subject to a government security investigation and must meet eligibility requirements for access to classified information at the...
"San Jose, CA",Sr. Data Scientist,3coast,"$150,000 - $200,000 a year","Research industry trends in Big Data, Machine Learning Recommendation and Personalization, Deep Learning, and adopt the latest and greatest within our branch..."
"San Jose, CA",Sr. Data Scientist,"TW STAFFING SOLUTIONS,INC","$150,000 - $200,000 a year","SENIOR DATA SCIENTIST ARTIFICIAL INTELLIGENCE (AI)*. Relocation available to San Jose, California for those with Ph.D.‰Ûªs in computer science/engineering with..."
"Mountain View, CA",Sr. Data Scientist,Harnham,"$160,000 a year",Statistics or Data Visualization experience. Harnham are exclusively partnering with a leading enterprise social listening platform in their search for a Senior...
"New York, NY",Sr. Data Scientist,Oliver James Associates,"$160,000 - $180,000 a year",
"New York, NY",Sr. Data Scientist,All-In Analytics,"$140,000 - $150,000 a year",
"New York, NY 10017 (Midtown area)",Sr. Data Scientist,Analytic Recruiting,"$120,000 a year","Data science, python, R, ""big data"", model, modeler, statistics, research. Senior Data Scientist needed by data science based media analytics and optimization..."
"New York, NY",Sr. Data Scientist,Harnham,"$180,000 a year",
"San Francisco, CA",Sr. Data Scientist,Workbridge Associates,"$140,000 - $170,000 a year",Statistical modeling and Machine Learning experience. A leading San Francisco consumer web and personalized shopping company is looking to add a Data Scientist...
"San Francisco, CA",Sr. Data Scientist,Harnham,"$180,000 a year","Senior Data Scientist. YOUR ROLE AS SENIOR DATA SCIENTIST:. Build and deploy models focusing on Machine Learning. Experience with R, H2o, Shiny...."
"San Jose, CA 95113 (Downtown area)",Sr. Data Scientist,Workbridge Associates,"$180,000 a year",
"Washington, DC",Sr. Data Scientist,Workbridge Associates,"$100,000 - $150,000 a year",A leading provider of data and technology for companies that support and promote free enterprise is looking to bring on a Data Scientist to their analytics team...
"Reston, VA 20190",Sr. Data Scientist,ZP Group,"$180,000 - $200,000 a year","Data, big data, petabytes, PhD, statistics, computer science, machine learning, engineering, image classification, neural networks, data processing, algorithms,..."
"Seattle, WA",Sr. Data Scientist,Smith Hanley Associates,"$155,000 - $165,000 a year","Senior Data Scientist. Deep learning, graphical modeling, NLP, learning to rank, data mining and web mining. You will be given flexibility to pursue interesting..."
"Mountain View, CA 94039",Sr. Data Scientist,Workbridge Associates,"$200,000 a year","A fast paced startup in Mountain View is taking on social media marketing and looking for a Senior Data scientist to join their ranks, can pay up to $200k...."
"Boston, MA",Sr. Data Scientist,Huxley Associates,"$140,000 a year",A Global Insurance provider is looking for a Senior Data Scientist to join their growing Data Analytics group....
"New York, NY",Sr. Data Scientist,Jobspring Partners,"$120,000 - $150,000 a year",Minimum 3 years experience in a data science or data analytics role on a product. The Data Scientist needs to have strong opinions on which analytics tools are...
"Chicago, IL",Sr. Data Scientist,Workbridge Associates,"$130,000 a year","The ideal candidate will have a strong sense of predictive modeling or machine learning experience and has been hands on using Python, R, Hadoop, Spark, and..."
"Los Angeles, CA",Sr. Data Scientist,Elevano,"$140,000 - $180,000 a year",Our Client is a very well funded FinTech company leaning heavily on machine learning algorithms to deliver liver very customized analytics to their customers....
"New York, NY 10017 (Midtown area)",Sr. Data Scientist,Analytic Recruiting,"$160,000 a year","Insurance, analytics, statistics, statistician, statistical, model, modeler, SAS, R, Python, risk, underwriting, data science...."
"New York, NY",Sr. Data Scientist,Oliver James Associates,"$160,000 - $180,000 a year","You will work closely with data engineers and BI experts to develop a streamlined, efficient and robust data architecture to meet business needs for data..."
"New York, NY",Sr. Data Scientist,All-In Analytics,"$140,000 - $150,000 a year",The position will provide thought leadership and project management to a cross-functional team to deliver complex analytical projects that solve important...
"San Jose, CA 95113 (Downtown area)",Sr. Data Scientist,Workbridge Associates,"$180,000 a year","Background in Python, R, Machine Learning, Hadoop, Spark and Bayesian modeling. The solution comes pre-loaded with a comprehensive library of banking-specific..."
"New York, NY",Sr. Data Scientist,Harnham,"$170,000 a year","You will be expected to adopt a very hands-on approach working with large scale structured and unstructured clinical data, as well as mentoring other Data..."
"New York, NY",Sr. Data Scientist,Harnham,"$150,000 a year",Senior Data Scientist - Modeling. Senior Data Scientist | Media | Computer Science | Machine Learning | Modeling | Data Engineering....
"Santa Clara, CA",Sr. Data Scientist,Harnham,"$155,000 a year",Senior Data Scientist - NLP & Linguistics. Statistics or Data Visualization experience. YOUR ROLE AS SENIOR DATA SCIENTIST - NLP & LINGUISTICS:....
"New York, NY",Sr. Data Scientist,Harnham,"$180,000 a year","Senior Data Scientist - NLP and Machine Learning. Essentially you will manage solution and production development from conception to delivery, including data..."
"New York, NY",Sr. Data Scientist,Venturi Ltd,"$100,000 - $135,000 a year","Data Scientist, FinTech, Python, R, Machine Learning, Big Data Engineer, Hadoop, Cloudera, SQL, NoSQL, Hortonworks, Java, Data Science, Analyst, Analytics, PhD,..."
"New York, NY",Sr. Data Scientist,Venturi Ltd,"$120,000 - $200,000 a year","Data Scientist, FinTech, Python, R, Machine Learning, Big Data Engineer, Hadoop, Cloudera, SQL, NoSQL, Hortonworks, Java, Data Science, Analyst, Analytics, PhD,..."
"Sunnyvale, CA 94085",Sr. Data Scientist,Workbridge Associates,$130 an hour,
"San Mateo, CA",Sr. Data Scientist,Workbridge Associates,$130 an hour,"Industry experience as a data scientist. The candidate will mentor designers and managers when conducting analysis, and will assist in the development of..."
"Sunnyvale, CA 94085",Sr. Data Scientist,Workbridge Associates,$130 an hour,"Industry experience as a data scientist. The candidate will mentor designers and managers when conducting analysis, and will assist in the development of..."
"San Francisco, CA 94105 (Financial District area)",Sr. Data Scientist,Workbridge Associates,"$170,000 a year","This is an excellent opportunity for junior full-stack data scientists that want to own the entire modeling and data pipeline, and seek an opportunity with an..."
"New York, NY",Sr. Data Scientist,Averity,"$150,000 - $185,000 a year","You will be programming in statistical languages, creating models and algorithms and utilizing statistical analysis and machine learning techniques to gather..."
"New York, NY",Sr. Data Scientist,Averity,"$100,000 - $120,000 a year","Data Scientist in our Analytics team, you will be join a team of experienced data scientists responsible for providing advanced analytics to support strategic..."
"Pleasanton, CA 94588",Sr. Data Scientist,Workbridge Associates,"$200,000 a year",
"San Jose, CA 95113 (Downtown area)",Sr. Data Scientist,Workbridge Associates,"$100,000 - $200,000 a year",Leading provider of mortgage software solutions has founded a new high-visibility Data Engineering & Machine Learning organization and is seeking Data...
"Pleasanton, CA 94588",Sr. Data Scientist,Workbridge Associates,"$200,000 a year",Leading provider of mortgage software solutions has founded a new high-visibility Data Engineering & Machine Learning organization and is seeking Data...
